gridiv,name,type,dangerous_heat_hours,population_day,hazard,exposure,vulnerability,risk_index,risk_rank
4,Kampong Lama,hotspot,42,300.0,0.6666666666666666,1.0,0.9497206703910615,1.0,1
5,Dhobi Lines,hotspot,26,300.0,0.4,1.0,0.9162011173184357,0.833390845703904,2
9,Fuzhou Lanes,hotspot,22,300.0,0.3333333333333333,1.0,0.9720670391061452,0.7998774322027701,3
7,Mlima Moto,hotspot,5,300.0,0.05,1.0,1.0,0.42903078664613453,4
6,Lusitano Square,core,5,250.0,0.05,0.7727272727272727,0.08938547486033527,0.17602979710878167,5
8,Victoria Exchange,core,5,250.0,0.05,0.7727272727272727,0.05586592178770954,0.15050335947719792,6
1,Jade Gardens,refuge,62,80.0,1.0,0.0,0.324022346368715,0.0,7
3,Taman Melati,refuge,47,80.0,0.75,0.0,0.3631284916201117,0.0,7
2,Serendib Rise,refuge,26,80.0,0.4,0.0,0.2737430167597766,0.0,7
10,Zheng He Towers,core,2,250.0,0.0,0.7727272727272727,0.0,0.0,7
